 === NP Ecosistem model integration =====================
  time            phytoplankton   nitrate         total_N
   56.5000000       6.42172934E-04   2.35782890E-03   3.00000189E-03
   56.6000023       6.41033053E-04   2.35896884E-03   3.00000189E-03
   56.7000008       6.39896141E-04   2.36010575E-03   3.00000189E-03
   56.7999992       6.38762198E-04   2.36123963E-03   3.00000189E-03
   56.9000015       6.37631281E-04   2.36237049E-03   3.00000189E-03
   57.0000000       6.36503333E-04   2.36349856E-03   3.00000189E-03
   57.1000023       6.35378296E-04   2.36462359E-03   3.00000189E-03
   57.2000008       6.34256226E-04   2.36574560E-03   3.00000189E-03
   57.2999992       6.33137068E-04   2.36686482E-03   3.00000189E-03
   57.4000015       6.32020819E-04   2.36798101E-03   3.00000189E-03
   57.5000000       6.30907482E-04   2.36909441E-03   3.00000189E-03
   57.6000023       6.29797054E-04   2.37020478E-03   3.00000189E-03
   57.7000008       6.28689537E-04   2.37131235E-03   3.00000189E-03
   57.7999992       6.27584872E-04   2.37241690E-03   3.00000189E-03
   57.9000015       6.26483117E-04   2.37351866E-03   3.00000189E-03
   58.0000000       6.25384215E-04   2.37461762E-03   3.00000189E-03
   58.1000023       6.24288165E-04   2.37571378E-03   3.00000189E-03
   58.2000008       6.23194908E-04   2.37680692E-03   3.00000189E-03
   58.2999992       6.22104504E-04   2.37789727E-03   3.00000189E-03
   58.4000015       6.21016894E-04   2.37898482E-03   3.00000166E-03
   58.5000000       6.19932078E-04   2.38006958E-03   3.00000166E-03
   58.6000023       6.18850056E-04   2.38115154E-03   3.00000166E-03
   58.7000008       6.17770827E-04   2.38223071E-03   3.00000142E-03
   58.7999992       6.16694393E-04   2.38330709E-03   3.00000142E-03
   58.9000015       6.15620695E-04   2.38438067E-03   3.00000142E-03
   59.0000000       6.14549732E-04   2.38545169E-03   3.00000142E-03
   59.1000023       6.13481563E-04   2.38651992E-03   3.00000142E-03
   59.2000008       6.12416072E-04   2.38758535E-03   3.00000142E-03
   59.2999992       6.11353316E-04   2.38864799E-03   3.00000142E-03
   59.4000015       6.10293297E-04   2.38970807E-03   3.00000142E-03
   59.5000000       6.09235954E-04   2.39076535E-03   3.00000142E-03
   59.6000023       6.08181290E-04   2.39182007E-03   3.00000142E-03
   59.7000008       6.07129361E-04   2.39287200E-03   3.00000142E-03
   59.7999992       6.06080052E-04   2.39392137E-03   3.00000142E-03
   59.9000015       6.05033420E-04   2.39496795E-03   3.00000142E-03
   60.0000000       6.03989465E-04   2.39601196E-03   3.00000142E-03
   60.1000023       6.02948130E-04   2.39705318E-03   3.00000142E-03
   60.2000008       6.01909414E-04   2.39809183E-03   3.00000119E-03
   60.2999992       6.00873376E-04   2.39912793E-03   3.00000142E-03
   60.4000015       5.99839899E-04   2.40016147E-03   3.00000142E-03
   60.5000000       5.98809042E-04   2.40119221E-03   3.00000119E-03
   60.6000023       5.97780803E-04   2.40222039E-03   3.00000119E-03
   60.7000008       5.96755126E-04   2.40324601E-03   3.00000119E-03
   60.7999992       5.95732068E-04   2.40426906E-03   3.00000119E-03
   60.9000015       5.94711571E-04   2.40528956E-03   3.00000119E-03
