 === NPZ Ecosistem model integration ====================================
  time            phytoplankton   zooplankton     nitrate         total_N
   63.9499969      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.9599991      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.9699974      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.9799995      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   63.9899979      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   64.0000000      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   64.0100021      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   64.0199966      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   64.0299988      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   64.0400009      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   64.0499954      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   64.0599976      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   64.0699997      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   64.0800018      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   64.0899963      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   64.0999985      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   64.1100006      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   64.1199951      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   64.1299973      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   64.1399994      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   64.1500015      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   64.1599960      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   64.1699982      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   64.1800003      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   64.1899948      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   64.1999969      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   64.2099991      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   64.2200012      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   64.2299957      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   64.2399979      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   64.2500000      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   64.2600021      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   64.2699966      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   64.2799988      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   64.2900009      0.494122922       1.01505446       9.08082426E-02   1.59998572    
   64.2999954      0.494122922       1.01505446       9.08082426E-02   1.59998572    
