 === NP Ecosistem model integration =====================
  time            phytoplankton   nitrate         total_N
   38.9000015       2.62963083E-02   3.70370015E-03   3.00000086E-02
   39.0000000       2.62963083E-02   3.70370038E-03   3.00000086E-02
   39.1000023       2.62963083E-02   3.70370061E-03   3.00000086E-02
   39.2000008       2.62963083E-02   3.70370061E-03   3.00000086E-02
   39.2999992       2.62963083E-02   3.70370061E-03   3.00000086E-02
   39.4000015       2.62963083E-02   3.70370061E-03   3.00000086E-02
   39.5000000       2.62963083E-02   3.70370061E-03   3.00000086E-02
   39.6000023       2.62963083E-02   3.70370061E-03   3.00000086E-02
   39.7000008       2.62963083E-02   3.70370061E-03   3.00000086E-02
   39.7999992       2.62963083E-02   3.70370061E-03   3.00000086E-02
   39.9000015       2.62963083E-02   3.70370061E-03   3.00000086E-02
   40.0000000       2.62963083E-02   3.70370061E-03   3.00000086E-02
   40.1000023       2.62963083E-02   3.70370061E-03   3.00000086E-02
   40.2000008       2.62963083E-02   3.70370061E-03   3.00000086E-02
   40.2999992       2.62963083E-02   3.70370061E-03   3.00000086E-02
   40.4000015       2.62963083E-02   3.70370061E-03   3.00000086E-02
   40.5000000       2.62963083E-02   3.70370061E-03   3.00000086E-02
   40.6000023       2.62963083E-02   3.70370061E-03   3.00000086E-02
